respondent_id,role,question_id,question,answer
EMP_01,Employee,Q1,"I can find the latest version of a client instruction without asking a colleague.",2.0
EMP_01,Employee,Q2,"I often spend time reconciling information between tools.",4.0
EMP_01,Employee,Q3,"Approvals given in chat are usually sufficient for me to proceed.",2.0
EMP_01,Employee,Q4,"I regularly need to redact or remove sensitive client information before saving it.",3.0
EMP_01,Employee,Q5,"Automated assignment would reduce my time on routine tasks.",4.0
EMP_01,Employee,Q6,"I have clear guidance on which channel to use for formal approvals.",2.0
EMP_01,Employee,Q7,"I am confident that the tools we use maintain accurate records for billing.",2.0
EMP_01,Employee,Q8,"I sometimes save client messages locally for my reference.",3.0
EMP_01,Employee,Q9,"I would use a one-click confirmation flow if it were available.",4.0
EMP_01,Employee,Q10,"I receive too many notifications from tools.",4.0
EMP_01,Employee,Q11,"I can access historical project notes easily.",2.0
EMP_01,Employee,Q12,"I know who to contact when a data inconsistency is found.",3.0
EMP_01,Employee,Q13,"I feel the current workflows support timely delivery.",3.0
EMP_01,Employee,Q14,"I have adequate time for impromptu clarifications that arise during a project.",4.0
EMP_01,Employee,Q15,"I am willing to try small workflow changes if they reduce manual work.",4.0
EMP_01,Employee,F1,"How often do you copy data between tools?",4.0
EMP_01,Employee,F2,"How often do you need to escalate a clarification to a manager?",3.0
EMP_02,Employee,Q1,"I can find the latest version of a client instruction without asking a colleague.",2.0
EMP_02,Employee,Q2,"I often spend time reconciling information between tools.",4.0
EMP_02,Employee,Q3,"Approvals given in chat are usually sufficient for me to proceed.",2.0
EMP_02,Employee,Q4,"I regularly need to redact or remove sensitive client information before saving it.",3.0
EMP_02,Employee,Q5,"Automated assignment would reduce my time on routine tasks.",4.0
EMP_02,Employee,Q6,"I have clear guidance on which channel to use for formal approvals.",2.0
EMP_02,Employee,Q7,"I am confident that the tools we use maintain accurate records for billing.",2.0
EMP_02,Employee,Q8,"I sometimes save client messages locally for my reference.",3.0
EMP_02,Employee,Q9,"I would use a one-click confirmation flow if it were available.",4.0
EMP_02,Employee,Q10,"I receive too many notifications from tools.",4.0
EMP_02,Employee,Q11,"I can access historical project notes easily.",2.0
EMP_02,Employee,Q12,"I know who to contact when a data inconsistency is found.",3.0
EMP_02,Employee,Q13,"I feel the current workflows support timely delivery.",3.0
EMP_02,Employee,Q14,"I have adequate time for impromptu clarifications that arise during a project.",4.0
EMP_02,Employee,Q15,"I am willing to try small workflow changes if they reduce manual work.",4.0
EMP_02,Employee,F1,"How often do you copy data between tools?",4.0
EMP_02,Employee,F2,"How often do you need to escalate a clarification to a manager?",3.0
EMP_03,Employee,Q1,"I can find the latest version of a client instruction without asking a colleague.",2.0
EMP_03,Employee,Q2,"I often spend time reconciling information between tools.",4.0
EMP_03,Employee,Q3,"Approvals given in chat are usually sufficient for me to proceed.",2.0
EMP_03,Employee,Q4,"I regularly need to redact or remove sensitive client information before saving it.",3.0
EMP_03,Employee,Q5,"Automated assignment would reduce my time on routine tasks.",4.0
EMP_03,Employee,Q6,"I have clear guidance on which channel to use for formal approvals.",2.0
EMP_03,Employee,Q7,"I am confident that the tools we use maintain accurate records for billing.",2.0
EMP_03,Employee,Q8,"I sometimes save client messages locally for my reference.",3.0
EMP_03,Employee,Q9,"I would use a one-click confirmation flow if it were available.",4.0
EMP_03,Employee,Q10,"I receive too many notifications from tools.",4.0
EMP_03,Employee,Q11,"I can access historical project notes easily.",2.0
EMP_03,Employee,Q12,"I know who to contact when a data inconsistency is found.",3.0
EMP_03,Employee,Q13,"I feel the current workflows support timely delivery.",3.0
EMP_03,Employee,Q14,"I have adequate time for impromptu clarifications that arise during a project.",4.0
EMP_03,Employee,Q15,"I am willing to try small workflow changes if they reduce manual work.",4.0
EMP_03,Employee,F1,"How often do you copy data between tools?",4.0
EMP_03,Employee,F2,"How often do you need to escalate a clarification to a manager?",3.0
EMP_04,Employee,Q1,"I can find the latest version of a client instruction without asking a colleague.",2.0
EMP_04,Employee,Q2,"I often spend time reconciling information between tools.",4.0
EMP_04,Employee,Q3,"Approvals given in chat are usually sufficient for me to proceed.",2.0
EMP_04,Employee,Q4,"I regularly need to redact or remove sensitive client information before saving it.",3.0
EMP_04,Employee,Q5,"Automated assignment would reduce my time on routine tasks.",4.0
EMP_04,Employee,Q6,"I have clear guidance on which channel to use for formal approvals.",2.0
EMP_04,Employee,Q7,"I am confident that the tools we use maintain accurate records for billing.",2.0
EMP_04,Employee,Q8,"I sometimes save client messages locally for my reference.",3.0
EMP_04,Employee,Q9,"I would use a one-click confirmation flow if it were available.",4.0
EMP_04,Employee,Q10,"I receive too many notifications from tools.",4.0
EMP_04,Employee,Q11,"I can access historical project notes easily.",2.0
EMP_04,Employee,Q12,"I know who to contact when a data inconsistency is found.",3.0
EMP_04,Employee,Q13,"I feel the current workflows support timely delivery.",3.0
EMP_04,Employee,Q14,"I have adequate time for impromptu clarifications that arise during a project.",4.0
EMP_04,Employee,Q15,"I am willing to try small workflow changes if they reduce manual work.",4.0
EMP_04,Employee,F1,"How often do you copy data between tools?",4.0
EMP_04,Employee,F2,"How often do you need to escalate a clarification to a manager?",3.0
EMP_05,Employee,Q1,"I can find the latest version of a client instruction without asking a colleague.",2.0
EMP_05,Employee,Q2,"I often spend time reconciling information between tools.",4.0
EMP_05,Employee,Q3,"Approvals given in chat are usually sufficient for me to proceed.",2.0
EMP_05,Employee,Q4,"I regularly need to redact or remove sensitive client information before saving it.",3.0
EMP_05,Employee,Q5,"Automated assignment would reduce my time on routine tasks.",4.0
EMP_05,Employee,Q6,"I have clear guidance on which channel to use for formal approvals.",2.0
EMP_05,Employee,Q7,"I am confident that the tools we use maintain accurate records for billing.",2.0
EMP_05,Employee,Q8,"I sometimes save client messages locally for my reference.",3.0
EMP_05,Employee,Q9,"I would use a one-click confirmation flow if it were available.",4.0
EMP_05,Employee,Q10,"I receive too many notifications from tools.",4.0
EMP_05,Employee,Q11,"I can access historical project notes easily.",2.0
EMP_05,Employee,Q12,"I know who to contact when a data inconsistency is found.",3.0
EMP_05,Employee,Q13,"I feel the current workflows support timely delivery.",3.0
EMP_05,Employee,Q14,"I have adequate time for impromptu clarifications that arise during a project.",4.0
EMP_05,Employee,Q15,"I am willing to try small workflow changes if they reduce manual work.",4.0
EMP_05,Employee,F1,"How often do you copy data between tools?",4.0
EMP_05,Employee,F2,"How often do you need to escalate a clarification to a manager?",3.0
EMP_06,Employee,Q1,"I can find the latest version of a client instruction without asking a colleague.",2.0
EMP_06,Employee,Q2,"I often spend time reconciling information between tools.",4.0
EMP_06,Employee,Q3,"Approvals given in chat are usually sufficient for me to proceed.",2.0
EMP_06,Employee,Q4,"I regularly need to redact or remove sensitive client information before saving it.",3.0
EMP_06,Employee,Q5,"Automated assignment would reduce my time on routine tasks.",4.0
EMP_06,Employee,Q6,"I have clear guidance on which channel to use for formal approvals.",2.0
EMP_06,Employee,Q7,"I am confident that the tools we use maintain accurate records for billing.",2.0
EMP_06,Employee,Q8,"I sometimes save client messages locally for my reference.",3.0
EMP_06,Employee,Q9,"I would use a one-click confirmation flow if it were available.",4.0
EMP_06,Employee,Q10,"I receive too many notifications from tools.",4.0
EMP_06,Employee,Q11,"I can access historical project notes easily.",2.0
EMP_06,Employee,Q12,"I know who to contact when a data inconsistency is found.",3.0
